iter	Passed	Remaining
0	168	168531
1	174	87311
2	179	59509
3	183	45619
4	189	37650
5	193	32040
6	197	28063
7	203	25225
8	207	22836
9	211	20915
10	216	19464
11	221	18198
12	225	17100
13	230	16264
14	235	15447
15	239	14724
16	243	14098
17	248	13537
18	252	13014
19	256	12552
20	262	12229
21	266	11840
22	270	11498
23	276	11239
24	280	10951
25	285	10693
26	291	10487
27	295	10248
28	299	10024
29	304	9847
30	308	9647
31	312	9458
32	317	9298
33	322	9156
34	326	9006
35	332	8891
36	336	8758
37	340	8630
38	345	8504
39	350	8413
40	354	8293
41	358	8178
42	364	8107
43	368	8001
44	370	7871
45	373	7749
46	376	7639
47	378	7511
48	380	7387
49	382	7266
50	384	7150
51	385	7030
52	387	6921
53	391	6849
54	392	6747
55	394	6648
56	396	6551
57	397	6457
58	399	6366
59	400	6276
60	402	6191
61	405	6133
62	407	6053
63	408	5973
64	409	5896
65	411	5819
66	412	5745
67	414	5674
68	415	5606
69	416	5538
70	420	5496
71	421	5436
72	423	5375
73	424	5315
74	426	5256
75	427	5199
76	429	5143
77	430	5089
78	431	5036
79	436	5014
80	437	4968
81	439	4923
82	440	4869
83	442	4826
84	444	4783
85	446	4741
86	449	4717
87	453	4694
88	456	4668
89	459	4643
90	463	4625
91	467	4613
92	470	4593
93	473	4565
94	476	4535
95	480	4522
96	482	4490
97	484	4456
98	486	4424
99	487	4391
100	489	4358
101	491	4325
102	494	4308
103	496	4276
104	498	4246
105	499	4215
106	501	4186
107	503	4156
108	505	4129
109	507	4108
110	509	4082
111	511	4053
112	512	4024
113	515	4003
114	516	3978
115	518	3953
116	520	3925
117	523	3914
118	525	3891
119	527	3866
120	528	3841
121	530	3814
122	531	3791
123	533	3767
124	534	3742
125	536	3720
126	539	3706
127	541	3687
128	543	3668
129	545	3648
130	546	3625
131	547	3603
132	549	3581
133	550	3559
134	554	3553
135	556	3536
136	558	3519
137	560	3502
138	562	3483
139	563	3464
140	565	3444
141	566	3424
142	569	3413
143	571	3395
144	572	3376
145	574	3357
146	575	3338
147	576	3320
148	578	3302
149	579	3284
150	580	3266
151	584	3260
152	586	3244
153	587	3228
154	588	3210
155	590	3194
156	591	3177
157	593	3161
158	594	3145
159	596	3129
160	599	3122
161	600	3108
162	602	3094
163	604	3079
164	605	3066
165	607	3051
166	608	3036
167	610	3022
168	612	3014
169	614	3001
170	616	2988
171	617	2974
172	619	2960
173	620	2947
174	622	2933
175	623	2919
176	625	2906
177	628	2902
178	630	2892
179	632	2879
180	633	2866
181	634	2853
182	636	2840
183	637	2827
184	638	2814
185	640	2801
186	643	2799
187	645	2788
188	647	2777
189	648	2765
190	650	2754
191	651	2742
192	652	2730
193	654	2718
194	655	2707
195	659	2705
196	661	2695
197	663	2686
198	665	2676
199	666	2667
200	668	2657
201	669	2645
202	671	2635
203	674	2632
204	676	2621
205	677	2610
206	678	2600
207	680	2590
208	681	2579
209	683	2569
210	684	2559
211	686	2551
212	689	2548
213	691	2538
214	692	2528
215	693	2518
216	695	2508
217	696	2498
218	698	2489
219	699	2479
220	701	2471
221	703	2466
222	705	2457
223	706	2448
224	708	2438
225	709	2429
226	710	2420
227	712	2411
228	713	2403
229	715	2394
230	718	2392
231	720	2384
232	721	2375
233	722	2366
234	724	2358
235	725	2349
236	727	2340
237	728	2332
238	729	2323
239	733	2321
240	734	2313
241	736	2305
242	737	2297
243	738	2289
244	740	2281
245	741	2273
246	743	2265
247	744	2257
248	747	2254
249	749	2248
250	751	2241
251	752	2234
252	754	2227
253	756	2220
254	757	2212
255	758	2205
256	760	2197
257	763	2195
258	764	2188
259	766	2180
260	767	2173
261	769	2166
262	770	2159
263	771	2152
264	773	2144
265	774	2137
266	777	2134
267	779	2127
268	780	2120
269	781	2113
270	783	2106
271	784	2099
272	785	2092
273	787	2085
274	788	2078
275	789	2072
276	793	2070
277	794	2064
278	796	2057
279	797	2050
280	798	2044
281	800	2037
282	801	2030
283	802	2024
284	804	2017
285	806	2012
286	808	2009
287	810	2002
288	811	1996
289	813	1990
290	814	1984
291	815	1978
292	817	1972
293	818	1965
294	820	1959
295	823	1957
296	824	1951
297	826	1946
298	827	1940
299	828	1933
300	830	1927
301	831	1921
302	832	1916
303	834	1910
304	835	1904
305	839	1903
306	841	1898
307	843	1894
308	844	1889
309	846	1883
310	847	1878
311	849	1872
312	853	1873
313	858	1876
314	860	1871
315	862	1866
